"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"2 NORTH MAIN STREET GREENSBURG PA 15601","WMLNDPA","WESTMORELAND COUNTY JAIL","2 NORTH MAIN STREET","GREENSBURG","WESTMORELAND","PA","15601","3","PHI","PIT","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","21.06.2009","31.08.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Superior","Acceptable","19.12.2006","Regular","NDS","No","Superior","13.11.2006","","N/A","N/A","No","","","","","","","","","","No","NO","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Main St","15601","Southwest Greensburg","PA",40.303494,-79.544617,0.958,"","2","range",NA,NA
"2 SOUTH PACIFIC DILLON MT 59725","BVRHDMT","BEAVERHEAD COUNTY DETENTION CENTER","2 SOUTH PACIFIC","DILLON","DENVER","MT","59725","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","11.01.2008","19.12.2007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Pacific St","59725","Dillon","MT",45.215913,-112.634727,0.859,"","2","range",NA,NA
"2 TURNER STREET AUBURN ME 4210","ANDROME","ANDROSCOGGIN COUNTY JAIL","2 TURNER STREET","AUBURN","ANDROSCOGGIN","ME","4210","1","BOS","POM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","22.01.2006","23.08.1993","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Turner Station Rd","40075","Turners Station","KY",38.556046,-85.167823,0.506,"BR","2","range",NA,NA
"20 4TH AVENUE SOUTHWEST CONRAD MT 59425","PONDEMT","PONDERA COUNTY JAIL","20 4TH AVENUE SOUTHWEST","CONRAD","PONDERA","MT","59425","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","12.10.2010","01.12.1990","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","4th Ave SW","59425","Conrad","MT",48.169,-111.94719,0.869,"","20","range",NA,NA
"20 BRADSTON STREET BOSTON MA 2118","SUFFOMA","SUFFOLK COUNTY HOUSE OF CORRECTIONS","20 BRADSTON STREET","BOSTON","SUFFOLK","MA","2118","1","BOS","BOS","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","210","04.11.2017","05.11.1996","218","196","186","192","153","189","227","236","247","261","255","190","185","178","176","186","188","181","174","191","186","196","195","203","40","34","40","37","282","2055","1685","1457","109","492","491","529","120","119","113","109","94","102","79","107","66","126","32","121","54","32","44","66","101","81","1","12","59","19","24","94","141","54","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","16.07.2003","","","$90.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","Bureau of Immigration and Customs Enforcement Standards","","Annual","Regular","NDS","No","Acceptable","Acceptable","11.05.2017","Regular","NDS","No","Acceptable","21.04.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","","No","YES","YES","NO","Yes","PERMANENT","35","400","9.00%","78240","372","102.00%","67870","224","Bradston St","02118","Boston","MA",42.333897,-71.069986,0.562,"","20","range",NA,NA
"200 COURT STREET CLAYTON NM 88415","UNIONNM","UNION COUNTY DETENTION CENTER","200 COURT STREET","CLAYTON","UNION","NM","88415","10","ELP","ELP","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","15.10.2009","01.07.2009","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Court St","88415","Clayton","NM",36.449639,-103.188432,0.729,"","198","street",NA,NA
"200 E UVALDE STREET #5 CRYSTAL CITY TX 78839","ZAVCOTX","ZAVALA COUNTY JAIL","200 E UVALDE STREET #5","CRYSTAL CITY","ZAVALA","TX","78839","5","SNA","DLR","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","17.11.2009","09.04.1992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","E Uvalde St","78839","Crystal City","TX",28.679812,-99.827692,0.955,"","200","range",NA,NA
"200 GRINER DEL RIO TX 78840","VALJUTX","VAL VERDE COUNTY JUVENILE","200 GRINER","DEL RIO","VAL VERDE","TX","78840","5","SNA","DLR","IGSA","JUVENILE","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","07.02.2011","19.08.2010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","JFRMU","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Griner St","78840","Del Rio","TX",29.361429,-100.902921,0.854,"","200","range",NA,NA
"200 HAND AVE. BAY MINETTE AL 36507","BALDWAL","BALDWIN COUNTY CORRECTIONAL CENTER","200 HAND AVE.","BAY MINETTE","BALDWIN","AL","36507","11","NOL","NOL","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","1","04.11.2017","20.04.2011","11","4","3","2","1","2","2","2","2","0","0","1","2","1","3","4","3","3","4","4","3","3","4","4","2","2","2","2","77","482","264","252","77","482","264","252","82","70","49","48","2","2","1","2","0","1","0","1","0","2","1","1","2","2","0","0","1","1","1","2","2","2","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","24.06.2009","","","$40.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Under 72","NDS","","Annual","ORSA","NDS","No","Acceptable","","29.08.2017","ORSA","NDS","No","Acceptable","28.07.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","","","No","NO","NO","NO","No","NONE","33","400","8.00%","1589","312","85.00%","1061","15","Hand Ave","36507","Bay Minette","AL",30.884394,-87.774802,0.956,"","200","range",NA,NA
"200 JEFFERSON COUNTY PARKWAY GOLDEN CO 80401","JEFFECO","JEFFERSON COUNTY JAIL","200 JEFFERSON COUNTY PARKWAY","GOLDEN","JEFFERSON","CO","80401","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.04.2010","07.04.1992","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","$70.00","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Superior","Acceptable","08.04.2010","Regular","NDS","No","Superior","12.03.2009","","N/A","N/A","No","","","","","","","","Superior","2008 and 2009 DEFICIENT","Yes","YES","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Jefferson County Pkwy","80401","Mount Vernon Club Place","CO",39.729755,-105.203172,0.928,"","200","range",NA,NA
"200 NORTH IOWA GUNNISON CO 81230","GUNNICO","GUNNISON COUNTY JAIL","200 NORTH IOWA","GUNNISON","GUNNISON","CO","81230","10","DEN","DEN","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","13.04.2008","06.04.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","N Iowa St","81230","Gunnison","CO",38.545524,-106.925621,0.846,"","200","range",NA,NA
"200 S. HICKORY HILL BALLINGER TX 76821","RUNLSTX","RUNNELS COUNTY JAIL","200 S. HICKORY HILL","BALLINGER","RUNNELS","TX","76821","5","SNA","PIC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","29.04.2004","30.12.2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Hickory Hill Dr","76821","Ballinger","TX",31.720684,-99.957404,0.79,"","202","street",NA,NA
"200 SOUTH WHITING STREET ALEXANDRIA VA 22304","NVJDCVA","NORTHERN VIRGINIA JUVENILE DETENTION CENTER","200 SOUTH WHITING STREET","ALEXANDRIA","COUNTY","VA","22304","4","WAS","WAS","IGSA","JUVENILE","Yes","Female/Male","B, C, D","AS NEEDED","","0","25.09.2017","09.07.2015","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","103","","4","4","4","2","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","AUTHORIZED","JFRMU","Under 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","","","","No","","0","400","0.00%","0","5","1.00%","5","1","S Whiting St","22304","Alexandria","VA",38.812429,-77.137157,0.934,"","200","range",NA,NA
"200 TEAL ST. LAKE CHARLES LA 70615","STMDPLA","ST. MARTIN D.P. NURSING HOME","200 TEAL ST.","LAKE CHARLES","CALCASIEU","LA","70615","5","NOL","OAK","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","0","26.02.2007","26.01.1999","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","HOSPITAL","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Teal St","70615","Lake Charles","LA",30.218572,-93.167467,0.863,"","198","street",NA,NA
"200 WEST 1ST AVENUE BIG TIMBER MT 59011","SWEETMT","SWEETWATER COUNTY JAIL","200 WEST 1ST AVENUE","BIG TIMBER","SWEET GRASS","MT","59011","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","27.05.2008","17.01.2005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W 1st Ave","59011","Big Timber","MT",45.833833,-109.956895,0.773,"","200","range",NA,NA
"200 WEST COMMERCIAL STREET CHARLESTON MO 63834","MISCOMO","MISSISSIPPI COUNTY DETENTION CENTER","200 WEST COMMERCIAL STREET","CHARLESTON","MISSISSIPPI","MO","63834","8","CHI","STL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","25.03.2015","24.11.1999","0","0","0","0","3","9","9","20","34","34","39","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","47","0","0","0","23","0","0","0","23","0","0","0","3","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","02.11.1999","","","$65.03","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","INS detention standards","","N/A","ORSA","NDS","No","Acceptable","","31.07.2015","ORSA","NDS","No","Acceptable","05.09.2014","","N/A","N/A","No","","","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","","No","NO","NO","NO","No","NONE","0","400","0.00%","0","0","0.00%","0","0","W Commercial St","63834","Charleston","MO",36.923376,-89.351612,0.932,"","200","range",NA,NA
"200 WEST MICHIGAN GRAYLING MI 49738","CRAWFMI","CRAWFORD COUNTY JAIL (GRAYLING, MICHIGAN)","200 WEST MICHIGAN","GRAYLING","CRAWFORD","MI","49738","6","DET","DET","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","26.08.2004","28.08.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Michigan Ave","49738","Grayling","MI",44.659934,-84.717197,0.854,"","200","range",NA,NA
"200 WEST STREET DEDHAM MA 2026","NORFOMA","NORFOLK COUNTY JAIL","200 WEST STREET","DEDHAM","NORFOLK","MA","2026","1","BOS","BOS","USMS IGA","USMS IGA","Yes","Female/Male","A, B, C, D","50","0.00%","0","04.01.2015","17.07.1980","0","0","0","0","1","6","18","25","41","40","45","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","01.03.2001","","","$95.00","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","FPBDS","","N/A","ORSA","NDS","No","Acceptable","","23.09.2016","ORSA","NDS","No","Acceptable","29.09.2015","","N/A","N/A","No","","Acceptable","Acceptable","","Acceptable","","Acceptable","Superior","","No","YES","YES","NO","No","NONE","0","400","0.00%","0","0","0.00%","0","0","S Dedham Rd","54836","Dedham","WI",46.557707,-92.185075,0.386,"","5616","street",NA,NA
"2000 CIBOLA LOOP MILAN NM 87021","CIBOCNM","CIBOLA COUNTY CORRECTIONAL CENTER","2000 CIBOLA LOOP","MILAN","CIBOLA","NM","87021","10","ELP","CIB","IGSA","IGSA","Yes","Male","A, B, C, D","500","36.00%","236","04.11.2017","27.12.2016","236","180","294","0","0","0","0","0","0","0","0","0","25","256","502","628","689","444","227","197","205","381","174","231","25","29","","","960","3615","0","0","8","18","0","0","5","2","0","0","123","57","197","97","0","0","0","0","116","37","13","14","57","123","0","0","21","13","24","123","176","5","YES","CORRECT CARE SOLUTIONS","CCA","COUNTY","27.10.2016","","150","b)(4)","Talton Full Service","AUTHORIZED","DMCP","Over 72","PBNDS 2011","PREA","Annual","Regular","PBNDS 2011","No","Meets Standard","Meets Standard","30.03.2017","Regular","PBNDS 2011","Yes","Special Review - Pre-Occupancy","20.10.2016","","PBNDS 2011","Regular","No","Meets Standard","Special Review - Pre-Occupancy","","","","","","","","No","YES","NO","YES","No","","35","400","9.00%","72103","285","78.00%","107368","798","Cibola Loop","87021","Milan","NM",35.181496,-107.90851,0.931,"","2000","range",NA,NA
"2000 LAKERIDGE DRIVE SW OLYMPIA WA 98502","THURSWA","THURSTON COUNTY CORRECTIONAL CENTER","2000 LAKERIDGE DRIVE SW","OLYMPIA","THURSTON","WA","98502","9","SEA","SEA","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Lakeridge Dr SW","98502","Olympia","WA",47.029041,-122.913601,0.831,"","2002","street",NA,NA
"2000 LEMON CREEK ROAD JUNEAU AK 99801","AKLEMON","LEMON CREEK","2000 LEMON CREEK ROAD","JUNEAU","JUNEAU","AK","99801","9","SEA","ANC","USMS IGA","USMS IGA","Yes","Female/Male","B, C, D","AS NEEDED","","0","04.12.2016","17.10.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","1","","","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","STATE","COUNTY (CORRECTIONS)","","02.01.1996","","","$158.67","","NOT INSPECTED","DMCP","Under 72","","","N/A","Regular","NDS","No","Acceptable","At-Risk","02.06.2011","Regular","NDS","No","Superior","30.07.2010","","N/A","N/A","No","","","","","","","Acceptable","Superior","","No","NO","NO","NO","No","","0","400","0.00%","0","1","0.00%","1","1","Lemon Creek Rd","99801","Lemon Creek","AK",58.361173,-134.487811,0.949,"","2000","range",NA,NA
"2001 RICKABAUGH DR BIG SPRING TX 79720","BSFLTTX","BSCC FLIGHTLINE UNIT","2001 RICKABAUGH DR","BIG SPRING","HOWARD","TX","79720","5","DAL","DAL","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","02.02.2011","27.07.2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","GEO","","","","","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Rickabaugh Dr","79721","Big Spring","TX",32.227595,-101.528072,0.846,"","2001","range",NA,NA
"2001 SEASIDE AVE. SAN PEDRO CA 90731","SPP","SAN PEDRO SERVICE PROCESSING CENTER","2001 SEASIDE AVE.","SAN PEDRO","LOS ANGELES","CA","90731","9","LOS","SPP","SPC","SPC","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","24.10.2007","27.06.1988","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Good","At-Risk","30.08.2007","Regular","NDS","No","Superior","17.08.2006","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","S Seaside Ave","90731","San Pedro","CA",33.726376,-118.267778,0.899,"","2001","range",NA,NA
"2001 W. 68TH ST. HIALEAH FL 33016","PMHOSFL","PALMETTO HOSPITAL","2001 W. 68TH ST.","HIALEAH","MIAMI-DADE","FL","33016","11","MIA","KRO","Other","HOSPITAL","No","Female/Male","A, B, C, D","AS NEEDED","","3","04.11.2017","21.10.2000","3","1","3","2","1","1","2","1","0","0","1","3","2","2","3","3","3","6","6","2","0","0","1","2","30","32","28","20","10","33","28","27","1","1","0","0","1","0","0","0","0","1","1","2","1","1","0","1","0","0","0","1","1","0","0","0","1","0","0","0","1","0","","","HOSPITAL","","","","","","","NOT INSPECTED","OTHER","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","29","400","7.00%","389","320","88.00%","1100","8","W 68th St","33016","Hialeah","FL",25.884069,-80.32399,0.906,"","2001","range",NA,NA
